pair,pc_a,pc_b,tau_start_ns,tau_stop_ns,original_pc_a_to_pc_b_cutoff_found,original_pc_b_to_pc_a_cutoff_found,original_pc_a_to_pc_b_cutoff_ns,original_pc_b_to_pc_a_cutoff_ns,original_pc_a_to_pc_b_area_to_cutoff,original_pc_b_to_pc_a_area_to_cutoff,smoothed_pc_a_to_pc_b_cutoff_found,smoothed_pc_b_to_pc_a_cutoff_found,smoothed_pc_a_to_pc_b_cutoff_ns,smoothed_pc_b_to_pc_a_cutoff_ns,smoothed_pc_a_to_pc_b_area_to_cutoff,smoothed_pc_b_to_pc_a_area_to_cutoff
pc1-pc2,pc1,pc2,0.0,495.0,True,True,194.3983808619086,209.21843278366907,114.12283378172461,64.41797978682885,True,False,493.676442616616,495.0,179.35278862136158,95.04381560599789
pc1-pc3,pc1,pc3,0.0,495.0,False,True,495.0,283.1379813463927,207.41205273584103,98.60005928140399,False,False,495.0,495.0,209.48884987692753,139.88276783086286
pc1-pc4,pc1,pc4,0.0,495.0,True,True,374.7660638740989,248.5131146676847,106.38551618176452,59.18559048569455,False,False,495.0,495.0,128.7671401297043,100.14428981231983
pc1-pc5,pc1,pc5,0.0,495.0,True,True,119.56796657652106,287.7233868631014,43.996658746460234,85.21500600325204,False,False,495.0,495.0,127.22976079840667,125.83422072767172
pc2-pc3,pc2,pc3,0.0,495.0,False,True,495.0,484.16632246319483,164.99598117782247,149.53060342532655,False,True,495.0,494.261513789671,166.81312314476486,151.54083496936124
pc2-pc4,pc2,pc4,0.0,495.0,True,True,229.6934349581752,419.3341760150405,78.74249924134429,114.06579095526793,False,True,495.0,493.8853104262547,120.40309785221714,126.5946210980925
pc2-pc5,pc2,pc5,0.0,495.0,True,True,64.23034722098068,127.25986585884714,12.77834960017235,33.924688574154054,False,True,495.0,491.0727356378017,63.162200568883364,97.18258754772465
pc3-pc4,pc3,pc4,0.0,495.0,False,False,495.0,495.0,162.57177438198224,170.05302792412866,False,False,495.0,495.0,163.3510550640763,170.51173390988538
pc3-pc5,pc3,pc5,0.0,495.0,True,True,154.53209178591422,333.2468462160997,53.040667139209425,124.8743458762571,False,False,495.0,495.0,111.16621242206875,164.95837157393674
pc4-pc5,pc4,pc5,0.0,495.0,True,True,94.26391307126077,434.9365065891522,24.14407560612304,123.59365622213967,False,False,495.0,495.0,114.59047320435634,137.26625054972607
