pair,pc_a,pc_b,tau_start_ns,tau_stop_ns,original_pc_a_to_pc_b_area,original_pc_b_to_pc_a_area,smoothed_pc_a_to_pc_b_area,smoothed_pc_b_to_pc_a_area,original_pc_a_to_pc_b_positive_points,original_pc_b_to_pc_a_positive_points,smoothed_pc_a_to_pc_b_positive_points,smoothed_pc_b_to_pc_a_positive_points,original_n_points,smoothed_n_points
pc1-pc2,pc1,pc2,0.0,995.0,608.1218035231019,339.43358600474414,610.5610621449891,340.1238473753405,198,198,1001,1001,200,1001
pc1-pc3,pc1,pc3,0.0,995.0,506.18807098821094,306.5714143556812,508.3780977552741,306.48863758779555,199,195,1001,1001,200,1001
pc1-pc4,pc1,pc4,0.0,995.0,611.0563827412828,320.04194228346705,613.8443644822547,321.48225565718116,199,192,1001,1001,200,1001
pc1-pc5,pc1,pc5,0.0,995.0,533.518834401301,263.95577815054264,534.5211774583843,263.99654438544246,198,192,1001,1001,200,1001
pc2-pc3,pc2,pc3,0.0,995.0,566.0689783087463,550.9543443091628,567.6940864350292,552.3456320735908,199,198,1001,1001,200,1001
pc2-pc4,pc2,pc4,0.0,995.0,451.29308080160365,473.3117550317876,452.5452117226786,474.3592426184666,198,197,1001,1001,200,1001
pc2-pc5,pc2,pc5,0.0,995.0,415.3111928203331,419.6162156243701,415.96867592801954,420.3329915144295,199,199,1001,1001,200,1001
pc3-pc4,pc3,pc4,0.0,995.0,596.2644850412819,566.034078435023,598.0721223248306,567.0974533882571,199,199,1001,1001,200,1001
pc3-pc5,pc3,pc5,0.0,995.0,513.1079647392619,516.0859007025584,515.4783895984747,518.6467993202649,197,198,1001,1001,200,1001
pc4-pc5,pc4,pc5,0.0,995.0,430.85994526129184,419.95616904400094,432.4488820565164,421.3161297408925,197,199,1001,1001,200,1001
