pair,pc_a,pc_b,tau_start_ns,tau_stop_ns,original_pc_a_to_pc_b_area,original_pc_b_to_pc_a_area,smoothed_pc_a_to_pc_b_area,smoothed_pc_b_to_pc_a_area,original_pc_a_to_pc_b_positive_points,original_pc_b_to_pc_a_positive_points,smoothed_pc_a_to_pc_b_positive_points,smoothed_pc_b_to_pc_a_positive_points,original_n_points,smoothed_n_points
pc1-pc2,pc1,pc2,0.0,995.0,441.58733752196406,220.2930986063456,443.5246254038304,220.73276523277698,198,198,1001,1000,200,1001
pc1-pc3,pc1,pc3,0.0,995.0,364.15695283522047,191.67818208483953,366.07638846093107,191.72149644942226,199,195,1001,1001,200,1001
pc1-pc4,pc1,pc4,0.0,995.0,444.7581201415297,201.43304241390467,447.31547567951964,202.49823191911796,199,192,1001,1001,200,1001
pc1-pc5,pc1,pc5,0.0,995.0,381.00709001251835,158.46131298575733,381.900420349297,158.3839285786781,198,192,1001,1001,200,1001
pc2-pc3,pc2,pc3,0.0,995.0,390.26955319963764,392.46514631397866,391.6525600268223,393.82607178138915,199,198,1001,1001,200,1001
pc2-pc4,pc2,pc4,0.0,995.0,312.9795554555271,332.0199411642875,314.0877055217846,332.8720916839464,198,197,1001,1001,200,1001
pc2-pc5,pc2,pc5,0.0,995.0,291.66257105193677,282.83108017422774,292.1879380969426,283.1905682168991,199,199,1001,1001,200,1001
pc3-pc4,pc3,pc4,0.0,995.0,427.3074720600758,390.76754352784434,428.8855443453929,391.5498523304989,199,199,1001,1001,200,1001
pc3-pc5,pc3,pc5,0.0,995.0,355.84181345597955,348.27714466537014,357.7741080654056,350.5528904081126,197,198,1001,1001,200,1001
pc4-pc5,pc4,pc5,0.0,995.0,296.3969483468195,283.17840398573725,297.6010066341062,284.15852056345295,197,199,1001,1001,200,1001
